FiscalPeriod, Parent, Alias: Default, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Type, Plan Type (Scratch1), Aggregation (Scratch1), Data Storage (Scratch1), Plan Type (Scratch2), Aggregation (Scratch2), Data Storage (Scratch2), Operation
BegBalance,FiscalPeriod,,never share,FALSE,,<none>,<none>,,,unspecified,stored,alternate,TRUE,+,never share,TRUE,+,never share,
CalendarTotal,FiscalPeriod,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,stored,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Q1,CalendarTotal,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Jan,Q1,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Jan_1,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_2,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_3,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_4,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_5,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_6,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_7,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_8,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_9,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_10,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_11,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_12,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_13,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_14,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_15,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_16,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_17,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_18,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_19,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_20,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_21,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_22,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_23,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_24,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_25,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_26,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_27,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_28,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_29,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_30,Jan,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jan_31,Jan,,store,FALSE,,<none>,<none>,LastDayofMonth,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb,Q1,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Feb_1,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_2,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_3,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_4,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_5,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_6,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_7,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_8,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_9,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_10,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_11,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_12,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_13,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_14,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_15,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_16,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_17,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_18,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_19,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_20,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_21,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_22,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_23,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_24,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_25,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_26,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_27,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_28,Feb,,store,FALSE,,<none>,<none>,LastDayofMonth,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Feb_29,Feb,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar,Q1,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Mar_1,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_2,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_3,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_4,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_5,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_6,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_7,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_8,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_9,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_10,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_11,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_12,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_13,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_14,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_15,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_16,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_17,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_18,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_19,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_20,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_21,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_22,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_23,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_24,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_25,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Mar_26,Mar,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
